"ridge" "grridge" "gren1.psel1" "gren1.psel2" "gren1.psel3" "gren1.psel4" "gren1.psel5" "gren1.psel7" "gren1.psel9" "gren1.psel11" "gren1.psel13" "gren1.psel15" "gren1.psel18" "gren1.psel21" "gren1.psel24" "gren1.psel27" "gren1.psel30" "gren1.psel34" "gren1.psel38" "gren1.psel42" "gren1.psel46" "gren1.psel50" "gren2.psel1" "gren2.psel2" "gren2.psel3" "gren2.psel4" "gren2.psel5" "gren2.psel7" "gren2.psel9" "gren2.psel11" "gren2.psel13" "gren2.psel15" "gren2.psel18" "gren2.psel21" "gren2.psel24" "gren2.psel27" "gren2.psel30" "gren2.psel34" "gren2.psel38" "gren2.psel42" "gren2.psel46" "gren2.psel50" "gren3.psel1" "gren3.psel2" "gren3.psel3" "gren3.psel4" "gren3.psel5" "gren3.psel7" "gren3.psel9" "gren3.psel11" "gren3.psel13" "gren3.psel15" "gren3.psel18" "gren3.psel21" "gren3.psel24" "gren3.psel27" "gren3.psel30" "gren3.psel34" "gren3.psel38" "gren3.psel42" "gren3.psel46" "gren3.psel50" "enet1.psel1" "enet1.psel2" "enet1.psel3" "enet1.psel4" "enet1.psel5" "enet1.psel7" "enet1.psel9" "enet1.psel11" "enet1.psel13" "enet1.psel15" "enet1.psel18" "enet1.psel21" "enet1.psel24" "enet1.psel27" "enet1.psel30" "enet1.psel34" "enet1.psel38" "enet1.psel42" "enet1.psel46" "enet1.psel50" "enet2.psel1" "enet2.psel2" "enet2.psel3" "enet2.psel4" "enet2.psel5" "enet2.psel7" "enet2.psel9" "enet2.psel11" "enet2.psel13" "enet2.psel15" "enet2.psel18" "enet2.psel21" "enet2.psel24" "enet2.psel27" "enet2.psel30" "enet2.psel34" "enet2.psel38" "enet2.psel42" "enet2.psel46" "enet2.psel50" "enet3.psel1" "enet3.psel2" "enet3.psel3" "enet3.psel4" "enet3.psel5" "enet3.psel7" "enet3.psel9" "enet3.psel11" "enet3.psel13" "enet3.psel15" "enet3.psel18" "enet3.psel21" "enet3.psel24" "enet3.psel27" "enet3.psel30" "enet3.psel34" "enet3.psel38" "enet3.psel42" "enet3.psel46" "enet3.psel50"
"pred1" 0.207267316424019 0.276387848114559 0.39999551138693 0.399829784587668 0.400296734479909 0.400453647915754 0.401823243331595 0.403312624631088 0.405049133545709 0.405693096718716 0.408038918104971 0.409458926822272 0.411747970913223 0.412822683188042 0.413883521128124 0.415638687007695 0.41627183478646 0.416203838875866 0.414729858353231 0.412152280482754 0.407909004609812 0.405527550918731 0.399951913867187 0.398473260479825 0.401310609167794 0.407206895237005 0.437762528923231 0.45900676858808 0.463849582394043 0.451388354799672 0.443447743111582 0.442312722418747 0.430408815275763 0.399864326742062 0.370722455132984 0.342172277987785 0.31501736056426 0.296230430969312 0.310491948088228 0.318267702481418 0.323873071015109 0.319759357825153 0.399901817378145 0.393479129809504 0.401641672259651 0.408074893286396 0.428616009794072 0.466256839858928 0.44918855162504 0.354014524505238 0.280463284608157 0.225797046782974 0.140477314364698 0.0628837069436621 0.0550540746247463 0.0658477307009616 0.064846121860336 0.0639726076427697 0.0633683412814579 0.0629497981000943 0.0626628665430474 0.0624710779615267 0.39999551138693 0.400213868297616 0.400291694351333 0.400481675988397 0.400867161743602 0.403296404031662 0.403761974576656 0.404483774429139 0.406171268856746 0.409469124703871 0.410397705584575 0.411037412159562 0.412304164756362 0.414057185734841 0.417302808364317 0.418803282942936 0.419932312990247 0.421211913931539 0.42119685617433 0.421220923049928 0.399951849434417 0.39662613159134 0.400892453352395 0.404525518524932 0.419425127237119 0.435627891144315 0.450495755815512 0.466895070055485 0.478013407242905 0.484462157827602 0.489118375695025 0.499654176380191 0.500548108547527 0.501593646031396 0.498892558831392 0.469376318305022 0.441149874607225 0.427786756928393 0.37392466487617 0.288637528031648 0.399901685524139 0.39329225807218 0.395430306267044 0.414146299609311 0.444157253352374 0.481299574100773 0.490426644215464 0.496521614812903 0.5235022169821 0.527040302157286 0.522910361845205 0.519049320162803 0.502424227080487 0.43664356255391 0.354582423561549 0.0658122305611674 0.0485159972419264 0.00569468091716762 0.00642168250407687 0.0065213654436593
"pred2" 0.470432272359632 0.550449818683674 0.488879780182995 0.486776675664552 0.483155913330928 0.481461735644618 0.480654773349079 0.479641239723853 0.478632553473798 0.477458094325144 0.476031898339978 0.473254878345784 0.469780657205419 0.468023146292018 0.467726510805173 0.467034153543924 0.465576742460623 0.464565973132356 0.463098028471216 0.462137812333645 0.461083518644969 0.456561577107988 0.488888888888889 0.435300706721517 0.415496894556491 0.414200339361301 0.408536177368568 0.401045228924106 0.396694355396206 0.371824942039204 0.346778257985486 0.327850364034955 0.327250073876025 0.354336212529311 0.368792308557321 0.402771701305485 0.45161123549178 0.469433704841656 0.488903086002517 0.499504919418894 0.500205261618489 0.50474752361278 0.488686821630006 0.47029181002445 0.364940026664722 0.355295481401786 0.35111156972045 0.346837173629732 0.308992848748984 0.298353327780558 0.295734854035497 0.305530540318917 0.362529878179282 0.393729798056247 0.398184638184062 0.386885305753359 0.346090494846559 0.188121127841047 0.151643885858006 0.152715418805021 0.153026513915141 0.152937874831888 0.488879792327232 0.487166100360381 0.483146173544348 0.481784849658148 0.481378397531345 0.480735451697849 0.480479189651387 0.480155953707795 0.478971344075756 0.478348631714404 0.475174382969152 0.47340906910535 0.471980904483768 0.470421666476554 0.468602463443693 0.465531107560484 0.460890957590925 0.45838459630811 0.456002054505302 0.454783265939643 0.488791160594592 0.437362183841051 0.419800070864023 0.417267836155541 0.412852101711805 0.409459683331124 0.401128105321328 0.394798364695948 0.386721949538181 0.385646793470469 0.381815523985356 0.375414557349104 0.374545106232722 0.373875521199309 0.368369801415062 0.361798154853089 0.35813708479978 0.36232205770184 0.369391398698869 0.37261776506965 0.488888888888889 0.476201466502185 0.382393668861769 0.360867008093427 0.347476577833627 0.331695580101711 0.32969762882557 0.335196688327736 0.342990800104605 0.342230577671301 0.346947558542605 0.345542944531683 0.340121369811937 0.354453825417821 0.416693527723226 0.565773859516021 0.773286475974318 0.874579815372435 0.936247169663101 0.947499080078115
"pred3" 0.124930037952853 0.0583671368869889 0.409090909090909 0.408766636100224 0.408621772598328 0.407428221495267 0.406611717840636 0.404086467033761 0.402139312798707 0.40134452610611 0.39937936279298 0.395236561631818 0.381343625675514 0.371358473878967 0.354327924442528 0.352833988748488 0.348149295132171 0.339846717599076 0.334234381727372 0.326012047557698 0.32178003684345 0.317656659590257 0.408992934685172 0.404883236065412 0.401577993582451 0.386332077695545 0.382834178499586 0.370518819588413 0.362044679658046 0.314339702681293 0.296871544252935 0.261263579060916 0.215671049449344 0.15475324043197 0.127242829103599 0.121135086754656 0.107306177892417 0.077399755645119 0.061768168208882 0.0489930098981267 0.036248005008086 0.0292178521696358 0.408902770310272 0.39626833411201 0.38914515588054 0.374275416599591 0.360951926929817 0.308851486176146 0.197655500720524 0.110705831046083 0.0758447885937222 0.0719790713077532 0.0311222944478532 0.0148571292296076 0.00831181790532127 0.00168224816183391 0.000566155577630256 0.000302447661985857 0.000294607476340369 0.000286936220229948 0.00028002857711002 0.000274472275593412 0.409081330996982 0.408706555667861 0.408678465172827 0.407876123567184 0.407757550548113 0.406682152507522 0.403534596314243 0.402006778338015 0.400754758200784 0.400212567260923 0.397180354908553 0.393863142236057 0.39028075513427 0.387828830719896 0.386258514037932 0.382246751174994 0.376279063713794 0.373153780842526 0.371151185472824 0.369454345325845 0.408993592714254 0.404700244835969 0.401144491142555 0.399054917614378 0.39538197109711 0.375649112946687 0.360047664914562 0.344135177130529 0.337441772385234 0.313861661760738 0.311971495698916 0.278210026283952 0.278020918122139 0.280644615955947 0.278821927985924 0.269488615124814 0.264099989090225 0.23732262083317 0.20987466301001 0.192049659954372 0.409090909090909 0.396758741629264 0.395434438188913 0.393154591123358 0.375843256147124 0.323757337446211 0.293783461422276 0.262541164957265 0.230089637248957 0.195487321118917 0.165916158459791 0.120484333293851 0.0808950633907653 0.0647400854523097 0.0417006527990114 0.0238174394161941 0.0147537592981305 0.00927929680859494 0.00231012102054078 0.00216120466829845
"pred4" 0.261071481944425 0.0320188655708201 0.444442518634566 0.444408317500965 0.442518819681729 0.442028898753886 0.441738459458245 0.439813762900661 0.43928444509714 0.43573857063683 0.435216320214313 0.429595801236805 0.42598010035263 0.415983648474796 0.405521172412866 0.397113518497631 0.39306932819951 0.387485256748148 0.380415291896 0.366672419189528 0.365529801350462 0.359724327139985 0.444424734437382 0.444138678491603 0.42060493177484 0.418556144058148 0.409702632249339 0.396756125547875 0.361718962854568 0.353033031386834 0.319857785865469 0.289692941158948 0.213322913868912 0.185284955554184 0.16460923430326 0.133145971394331 0.113156466185769 0.073970714885068 0.03598584830305 0.0240606114727838 0.0112786838298301 0.00603805741972336 0.444367861530127 0.443926455543562 0.386712427108588 0.377203999523233 0.374285488521608 0.359013862084879 0.326331997009505 0.307002722098798 0.145784240435903 0.123039868016155 0.0841703051731167 0.05894292729162 0.02127840504623 0.00103276067344979 4.93873975018954e-05 5.24155202313454e-06 5.26012856210457e-06 5.26075821670172e-06 5.25480458523972e-06 5.24987708156605e-06 0.444442518634566 0.444408317500965 0.442193031029527 0.442094960238558 0.441808954557666 0.440448373486742 0.439813803822281 0.439405928553729 0.439197792603038 0.437409660049612 0.43579071157899 0.433900495930798 0.433587296668046 0.432292820406524 0.431120257057053 0.429964391380584 0.426977087048384 0.425402792304458 0.423193949934683 0.421363485655736 0.444424734437384 0.444138678491638 0.420641086558888 0.417401360807584 0.413590372528391 0.402331368725466 0.397022640881135 0.389675744674588 0.391579868999641 0.392121557804539 0.386449678015439 0.379139493228781 0.370521463299878 0.359353883690261 0.331306402050772 0.317894733508255 0.27611940382753 0.252759938925039 0.214235353319638 0.199627760650372 0.444367861530148 0.443926455543697 0.388235505998789 0.378065204586789 0.370971083685059 0.36077611419817 0.363549174237245 0.360328937169089 0.356477753870814 0.329995115982778 0.278528017889131 0.182521035445816 0.112469675032552 0.100435155184021 0.0326580455451129 0.0255889726677667 0.0069447655032121 0.00236425698857461 0.00234857913379828 0.00148343899173992
"pred5" 0.289148760703386 0.196101342677318 0.400007979825398 0.400641684569083 0.401981071521629 0.402634019538681 0.408035019809247 0.409677048133598 0.41155388341925 0.412604003733868 0.415983100489394 0.417392731894049 0.418821842770056 0.419705025073347 0.419947386341109 0.419990087109178 0.419813986118931 0.418353146820252 0.417169887920072 0.416172567200729 0.413345752045004 0.411135913145267 0.400085457816279 0.411683477436638 0.420290264264791 0.445902182339857 0.49611359754975 0.5219722859413 0.532046298772548 0.585173597783888 0.614836841734916 0.625199003595096 0.660835375588681 0.693788653887755 0.7193829863399 0.746695154533877 0.767472453849531 0.783011182054734 0.791723536257751 0.789295536408257 0.785487454540438 0.778126926362183 0.400174426938999 0.429543806032277 0.457559639697364 0.484096549922532 0.517431415597102 0.578976835562717 0.656755046913034 0.821204761723166 0.904493297051112 0.947730588860077 0.985974983009054 0.998514359878868 0.99922992380874 0.999968941270829 0.999969640937739 0.99997028015591 0.999970865896648 0.999971389208338 0.999971860084827 0.999972286972699 0.400007979825398 0.401704345841237 0.401956015255202 0.402748106682122 0.403458902622617 0.407777902837404 0.408233551000253 0.408602106478867 0.409341356022369 0.410720931354815 0.411028680008275 0.411317751076183 0.411969301035199 0.412824771956193 0.414124507608209 0.41453170213758 0.413567236152881 0.411145293341718 0.410105811955646 0.40842861823824 0.400085572286251 0.406249533309774 0.419017555948214 0.423870942762182 0.448087712467296 0.473275270415507 0.478682813486545 0.483617064922699 0.489139840655482 0.493500583678887 0.507043769358247 0.522264118993097 0.528381104958573 0.534641868251561 0.535835771824784 0.549213533820021 0.563484463963858 0.572250716070598 0.586692267332044 0.609412596104551 0.400174661023173 0.428985146580384 0.431422651927187 0.452591076777365 0.491716701646169 0.529458428444405 0.540636542297134 0.548180764198307 0.589831505200461 0.637281829149542 0.643790543438413 0.650533734399661 0.668467110409085 0.730794058648608 0.825210332354739 0.965315941281139 0.97414543266609 0.986796863781106 0.987500137387431 0.987753143300237
"pred6" 0.285078632350884 0.272640350286212 0.4 0.400777604351127 0.40135936270253 0.401797969217596 0.403129773207606 0.403343090993058 0.403949293190904 0.405101699117318 0.405995423278197 0.407822626790303 0.408531671131756 0.40889882098363 0.408946737335561 0.408905929449912 0.407797665129719 0.407303279820528 0.404829482338871 0.399684272230747 0.393937871358906 0.385114595383202 0.400087581348255 0.410134231741986 0.415753328524539 0.423922537822506 0.42943324175186 0.432327932760233 0.434382511699577 0.436892216256865 0.423304020206417 0.416526260964147 0.400625944371121 0.393286416962568 0.383354203061972 0.359378116327214 0.310582590039848 0.247640209541656 0.207772925278162 0.166149194015651 0.130719560764204 0.113710785187471 0.400185451691594 0.430126275237463 0.448713627998608 0.45184645450885 0.448645322957463 0.446795338246441 0.442522797454228 0.442563702328974 0.441952138625154 0.442500355413045 0.422514212700873 0.394740241434757 0.110532242443857 0.0136476440368542 0.00911942052500025 0.00892042082721337 0.00872480745642098 0.00854109616800399 0.00836156882262692 0.00819786922829306 0.40000796701019 0.400667009044574 0.401298138534932 0.402094475897506 0.402449058279495 0.40388360883128 0.404113140531525 0.404569456679397 0.404845565192807 0.405514157537071 0.407050152521737 0.407940896654102 0.40818283137841 0.408337254679205 0.408512232646319 0.408751263626045 0.408321902187364 0.408299769183328 0.407676584944825 0.406485410328452 0.400087699138127 0.408238885875797 0.418833042729175 0.423924957443437 0.43052935976397 0.440329317657464 0.449663387019288 0.452458451350776 0.450480983055458 0.449013613197316 0.442307364213309 0.438124186223203 0.433879259447849 0.422133923878456 0.411057468960112 0.392675417438325 0.372852664203054 0.351717883973684 0.335362874384743 0.332487362052346 0.400184948528353 0.428007925335461 0.445680114027226 0.449550974411831 0.453856992333344 0.468362688360951 0.467173110156351 0.464876721702366 0.456613341006859 0.438579418006922 0.395156673183098 0.341537356124714 0.282223828817226 0.211718790992758 0.149918959541545 0.118784574101932 0.0467996675929936 0.0336145253237951 0.0336380727217187 0.033706730946569
"pred7" 0.471701276583171 0.490459197444884 0.488910838054207 0.490383639469554 0.491852128014276 0.492691931451353 0.49322564155403 0.493280750618818 0.493143037621136 0.492581090382107 0.490572554372543 0.485928110642694 0.479541373507853 0.475399297335991 0.47494209514534 0.473688250389673 0.47145068802016 0.469686211851152 0.468256524186216 0.467448412619464 0.466579916594904 0.465072923352663 0.488888888888889 0.521099399252553 0.529613829491038 0.529186991471449 0.530073297231037 0.530028691846026 0.529846213677479 0.52422780440815 0.507830102229028 0.493574649371974 0.491448602934668 0.474257357876863 0.470386250766414 0.464519060401808 0.464738731741032 0.472517690073698 0.49042039157941 0.510637120630202 0.510249719383015 0.507183444504758 0.489375802130341 0.521938932568723 0.566339383539094 0.561459421980276 0.558370656441209 0.555054875897259 0.536975426151337 0.526827181706323 0.514829475215869 0.503711890593173 0.461466412934004 0.413834603744508 0.379516422192283 0.391980815249059 0.291546792540673 0.206463008634311 0.224223426864853 0.218021365115633 0.211131866224154 0.204349043796092 0.488910808790309 0.490210913834699 0.491854536016878 0.492473224193309 0.492750445142966 0.493549763555042 0.493733498603824 0.493865294657168 0.494063785486098 0.494135954741847 0.49371341268111 0.493760936025654 0.493701730953033 0.493513233385975 0.493124051573034 0.4920153356311 0.490524759522853 0.48984213049383 0.489334645538021 0.4891069090275 0.489124382209638 0.520144966820758 0.528015267309105 0.528125203041777 0.527944294933884 0.527558720204646 0.528159670858018 0.534163368484712 0.546208606592765 0.548517365510775 0.557149145849238 0.573198978345161 0.574089717601744 0.57304823373972 0.557455189485836 0.526420502045668 0.483649828114506 0.467969032810837 0.457947876916264 0.447848386457824 0.488888888888889 0.519407392991777 0.561803363054356 0.556650468472058 0.554940898268822 0.569432446661917 0.588001356228741 0.609479054248974 0.624602186229702 0.616340041566979 0.602764971336519 0.578660099353238 0.583972229972513 0.586734121745011 0.567977008569717 0.502463140777694 0.258937976116151 0.104530366353132 0.0460355600710593 0.0327963040219963
"pred8" 0.19393693442208 0.0846103529868372 0.409090909090909 0.409574248416142 0.409605156532651 0.409503844616772 0.409492945688391 0.409470676249018 0.409438836138008 0.409398041260904 0.409090176250464 0.408172488240974 0.40611927108881 0.406085466769084 0.405779604531158 0.405535875112272 0.404101068883789 0.400426582290115 0.395696390073545 0.388452121236064 0.384370198754464 0.380365976713692 0.40925378322795 0.415560555300459 0.415848395774389 0.411990458297297 0.410944920356444 0.411377967261671 0.408423189648448 0.389380816092349 0.381174849067396 0.351124788052911 0.305321459736304 0.262721238184616 0.216272764427718 0.192222200362284 0.155492068171576 0.101724029542847 0.068828015671943 0.0480096721799928 0.0327518326481111 0.0247197709756071 0.409403655162762 0.427990246457762 0.427187483209066 0.419394564128547 0.416955476538797 0.396030923973455 0.271920828930255 0.19599131004877 0.166931791170329 0.15496822024251 0.0170105608799957 0.00352623050195218 0.000739120897583938 1.78980555055946e-05 5.0117838092448e-06 2.42102716352373e-06 2.30138586593694e-06 2.2029960521932e-06 2.11344608349731e-06 2.02895913404795e-06 0.409106833046254 0.40960225254646 0.409606714092732 0.409586217745283 0.409571754904131 0.409245802121936 0.408842381288445 0.408676483155909 0.408519269925431 0.408387363408173 0.407548532823127 0.405902882870363 0.403588415865968 0.401887953420643 0.400979919369533 0.398562164753216 0.395077913891854 0.393431639052115 0.392202636078823 0.3912145789064 0.409252689380989 0.415645857594436 0.415820210964754 0.415823160923941 0.415100183630988 0.407852487165261 0.404522768769112 0.396610254157122 0.389896463584068 0.359214278161262 0.355330421035708 0.2981773529571 0.288313281683219 0.276421432757933 0.262217313461962 0.246247784565483 0.237507472584967 0.197264940114159 0.170841473425626 0.152909556605111 0.409090909090909 0.427773773899748 0.428389889544649 0.428929663673937 0.42645179915279 0.418292668593015 0.399278351324556 0.346217612878797 0.25622894158899 0.174629168968172 0.154609438773456 0.123408725660458 0.0995369961770645 0.0853816097324658 0.066745032138081 0.0409468295003021 0.0212803426284864 0.00936570941649691 0.000850090831264152 0.000588821795374932
"pred9" 0.697321873902869 0.440583200727803 0.444444841472227 0.444462868462656 0.445668445011306 0.446654802071494 0.447060788116182 0.449126374538809 0.44972877290759 0.453137885865368 0.453498537757654 0.456105071146974 0.457701296491041 0.459720101560584 0.461226061646173 0.463980006492675 0.465718974626217 0.468405182620594 0.471654824138839 0.477651516977265 0.478067232770308 0.479702303676376 0.444448507907957 0.444598595881442 0.456913950507751 0.459465242573437 0.471090665779344 0.486086918877475 0.512877963011726 0.513536756367118 0.513295500495309 0.509054223254276 0.494423862098395 0.486643262359359 0.481162523801664 0.471311895533762 0.461365587096174 0.437688179557098 0.403170479929049 0.396787498379314 0.389559538888059 0.382352889658816 0.444460233210144 0.444695176507801 0.470500516592931 0.474713565268585 0.478700344141928 0.505230390748193 0.515672226201727 0.514151466150515 0.447892836935005 0.437561034829249 0.380236822634556 0.334882884993091 0.252764291828317 0.136910612525756 0.0759358219092493 0.0553748140036581 0.0552047920567748 0.0551379751939893 0.0551168431027797 0.0551264270656448 0.444444841472227 0.444462868462656 0.446378864389097 0.446556954607258 0.446963143609746 0.448465373831865 0.448826099371182 0.44904827020369 0.449172794163052 0.450196324078626 0.451182814810626 0.452937601270219 0.453445076883799 0.455673336256097 0.457880728911819 0.459821248937818 0.463556072566568 0.465468243981538 0.467526657203165 0.469451398001514 0.444448507907957 0.444598595881423 0.456903597170685 0.460902456267602 0.465854072672033 0.477956878163889 0.481505546397607 0.493275446877592 0.508496413256136 0.510570115375858 0.525633439004192 0.540603268402175 0.559407941023132 0.579210619702077 0.624905695937709 0.641981674642928 0.702398942691649 0.74048810980482 0.797104347024322 0.820145704136208 0.44446023321014 0.444695176507728 0.470118698892772 0.472976652164085 0.477172792761207 0.486405857426685 0.502109562816015 0.524626021106613 0.52783296248873 0.556816808952437 0.590710009247626 0.682426075405616 0.745462268954979 0.779121235757335 0.964651283474393 0.974194262293909 0.994625060365844 0.998289133582647 0.998306235033723 0.999052864869408
"pred10" 0.840419218678572 0.9514475415724 0.488890289964585 0.49059165177066 0.493955763469423 0.495905721181653 0.496928637535729 0.498213039495381 0.500216217553772 0.503101857098053 0.508687713980176 0.519085560526843 0.534200020169394 0.548088126449321 0.549937219862106 0.555166448745623 0.566499645498915 0.577412772576421 0.591814107892481 0.599217203116743 0.607120061042455 0.628498638560119 0.488888888888889 0.534498347443378 0.553398638587535 0.555555628108754 0.565924825890772 0.575604360434389 0.58158098273916 0.622609273981981 0.663721572307003 0.689584464934635 0.72801794289652 0.814328301459483 0.830847880953101 0.860076124927014 0.903595803122362 0.917027060479176 0.935928405769488 0.952554303033222 0.968239925435823 0.985167891715586 0.488919963681656 0.496227777154333 0.598620821085979 0.617738023967201 0.625955989611508 0.634127396406981 0.713041013411502 0.731192497885828 0.759220116819945 0.81875391339087 0.881703721880534 0.923713341286784 0.956456892938676 0.987636928931352 0.999366037925854 0.999989701244446 0.999998943235721 0.999998911125828 0.999998884122719 0.999998860939488 0.488890288096591 0.490238293349404 0.493965694152511 0.495502858231824 0.496006165705547 0.496661660004973 0.496961746759138 0.497283803988601 0.498332275947114 0.499080771869245 0.50327586340086 0.506460830417192 0.509856641358266 0.513849647154707 0.518142063239817 0.524364994256098 0.532012970178404 0.537129452715138 0.543018639678597 0.544957142830846 0.488903919624212 0.532616505404285 0.548214550996679 0.549966478705261 0.552993074459927 0.555365489058045 0.562948400105525 0.569405662562165 0.57731715563052 0.578805018857755 0.586130773633396 0.60180723113319 0.604714067669506 0.608082916659162 0.618202800994104 0.632043805762558 0.646248533099271 0.658939367242085 0.66610482334071 0.671634412676297 0.488888888888889 0.490830491923823 0.577403278858082 0.593268513844227 0.601060118333379 0.602696095831437 0.597733434891917 0.589902317645747 0.585938325734466 0.589711439257783 0.593041321282183 0.59962219808678 0.607356147514214 0.612014292972703 0.650465688586087 0.715261500355141 0.802031007850908 0.870176086725831 0.907791958547271 0.930398110357982
